episode_id,blue_cube_count,target_index,successful,x_m,y_m,z_m,position_stratum,tray_x_m,tray_y_m
episode_000172,1,0,False,0.4432520213786494,-0.03067697748707149,0.026,8,0.51,0.22655931169248303
episode_000173,1,0,True,0.45858968664325017,0.1563265443374787,0.026,10,0.51,-0.1451648446855659
episode_000174,2,0,True,0.45616578534501917,-0.2761322323273749,0.026,6,0.51,0.17050280804061263
episode_000174,2,1,True,0.6169995947351531,-0.16432360181906347,0.026,19,0.51,0.17050280804061263
episode_000175,1,0,True,0.4606593200867165,0.06475848546097844,0.026,9,0.51,0.2499630901133501
episode_000176,3,0,False,0.5993756020566936,-0.2534982084160313,0.026,18,0.51,0.22655931169248303
episode_000176,3,1,False,0.48887958152621236,0.0024688715021462873,0.026,9,0.51,0.22655931169248303
episode_000176,3,2,False,0.4206453805884992,-0.1817813619482921,0.026,1,0.51,0.22655931169248303
episode_000177,3,0,True,0.6305115005423629,0.1883936170969815,0.026,22,0.51,-0.1451648446855659
episode_000177,3,1,True,0.5010855599777208,0.07475885202264564,0.026,9,0.51,-0.1451648446855659
episode_000177,3,2,True,0.3710351471580094,0.1277967096401731,0.026,4,0.51,-0.1451648446855659
episode_000178,1,0,True,0.4470676316592263,-0.23435996373222204,0.026,6,0.51,0.17050280804061263
episode_000179,1,0,True,0.47584423778965057,-0.12684074322714617,0.026,7,0.51,0.2499630901133501
episode_000180,2,0,True,0.4635762581931164,0.020926388524741626,0.026,9,0.51,0.22655931169248303
episode_000180,2,1,True,0.6027303912238317,-0.06822129929883589,0.026,20,0.51,0.22655931169248303
episode_000181,2,0,True,0.4651664502698053,0.1045332505438812,0.026,10,0.51,-0.1451648446855659
episode_000181,2,1,True,0.6373342803851046,0.13164724751403453,0.026,22,0.51,-0.1451648446855659
episode_000182,3,0,True,0.5853850839262341,0.0004312317060812922,0.026,15,0.51,0.17050280804061263
episode_000182,3,1,True,0.5024770998454486,-0.17107231866292358,0.026,7,0.51,0.17050280804061263
episode_000182,3,2,True,0.3776965037193145,-0.2085873037107448,0.026,0,0.51,0.17050280804061263
episode_000183,2,0,True,0.5009549026707238,-0.18507643845608757,0.026,7,0.51,0.2499630901133501
episode_000183,2,1,True,0.6365937079177167,0.06739778408402275,0.026,21,0.51,0.2499630901133501
episode_000184,1,0,True,0.38719927774423973,-0.10337446462139696,0.026,1,0.51,0.22655931169248303
episode_000185,1,0,True,0.388580238430003,0.13708773300655716,0.026,4,0.51,-0.1451648446855659
episode_000186,2,0,True,0.4954754922861987,-0.03200347593985971,0.026,8,0.51,0.17050280804061263
episode_000186,2,1,True,0.600640605518882,-0.2366086006676572,0.026,18,0.51,0.17050280804061263
episode_000187,3,0,False,0.5971012553054962,0.018071923526315134,0.026,21,0.51,0.2499630901133501
episode_000187,3,1,False,0.5058825611956244,-0.1875945090830785,0.026,7,0.51,0.2499630901133501
episode_000187,3,2,False,0.39505922101175184,-0.054348815278767816,0.026,2,0.51,0.2499630901133501
episode_000188,1,0,True,0.43399472602371025,0.011606560944125486,0.026,3,0.51,0.22655931169248303
