episode_id,blue_cube_count,progress_stage,num_remaining,target_index,successful,x_m,y_m,z_m,position_stratum,tray_x_m,tray_y_m
episode_000189,2,0,2,1,True,0.5693283138815446,-0.022523129383828777,0.026,14,0.51,-0.23771861983736764
episode_000191,2,0,2,0,True,0.5023445942100215,-0.10881942655360918,0.026,7,0.51,0.23208123069127348
episode_000191,2,0,2,1,True,0.5192743352970464,0.01991386655656137,0.026,15,0.51,0.23208123069127348
episode_000195,2,0,2,0,True,0.49337878209881975,-0.18921739222574352,0.026,7,0.51,0.23208123069127348
episode_000195,2,0,2,1,True,0.6171361062952506,-0.219416828463382,0.026,18,0.51,0.23208123069127348
episode_000196,1,0,1,0,True,0.41473695482464956,-0.28665855521797995,0.026,0,0.51,0.21314741073137272
episode_000197,2,1,1,1,True,0.5201342358132235,0.12511563028845565,0.026,16,0.51,-0.23771861983736764
episode_000198,1,0,1,0,True,0.4292889719501134,-0.23413021893400462,0.026,0,0.51,0.2456055205640743
episode_000200,2,0,2,0,True,0.5030537484015968,0.01726966190546586,0.026,9,0.51,0.21314741073137272
episode_000200,2,0,2,1,True,0.5289238172249743,-0.1266262909630353,0.026,13,0.51,0.21314741073137272
episode_000203,2,0,2,0,True,0.44577190474830314,-0.2528489101313601,0.026,6,0.51,0.23208123069127348
episode_000203,2,0,2,1,True,0.5725116648113973,-0.1092915723844763,0.026,13,0.51,0.23208123069127348
episode_000204,1,0,1,0,True,0.4139126591582495,0.029074142056281765,0.026,3,0.51,0.21314741073137272
episode_000205,1,0,1,0,True,0.5303883938389575,0.1423860431358873,0.026,16,0.51,-0.23771861983736764
episode_000206,2,0,2,0,True,0.41474960129333255,-0.20081451808335574,0.026,0,0.51,0.2456055205640743
episode_000206,2,0,2,1,True,0.6585452486010522,-0.05377885853617306,0.026,20,0.51,0.2456055205640743
episode_000207,2,0,2,0,False,0.43540386706600637,-0.175361443545896,0.026,1,0.51,0.23208123069127348
episode_000207,2,0,2,1,False,0.6541615631337288,0.0008693125079220562,0.026,21,0.51,0.23208123069127348
episode_000208,1,0,1,0,True,0.5472359969424624,-0.02806996015843405,0.026,14,0.51,0.21314741073137272
episode_000210,1,0,1,0,True,0.5547393625546558,-0.0020783712811790617,0.026,14,0.51,0.2456055205640743
episode_000212,2,1,1,0,True,0.38626972678961935,-0.11893285689514362,0.026,1,0.51,0.21314741073137272
episode_000213,1,0,1,0,True,0.5549418794394778,0.221814218095891,0.026,17,0.51,-0.23771861983736764
episode_000215,1,0,1,0,True,0.5215394120054087,-0.2879448502805944,0.026,12,0.51,0.23208123069127348
episode_000217,1,0,1,0,True,0.5675520543508413,0.058606767843300364,0.026,15,0.51,-0.23771861983736764
episode_000218,2,1,1,0,True,0.3813450267257952,-0.06139904959265929,0.026,2,0.51,0.2456055205640743
episode_000219,1,0,1,0,True,0.49254701334223294,-0.15922576500581292,0.026,7,0.51,0.23208123069127348
episode_000220,1,0,1,0,True,0.47468656117556607,-0.05694648627554611,0.026,8,0.51,0.21314741073137272
